#%guid=08134ad0-cc68-4b23-38e8-703012641054
cel_files	qc-call-rate-all	qc-call-rate-nsp	qc-call-rate-sty	qc-call-rate-nsp-sty-ovlp	em-cluster-chrX-het-contrast_gender	em-cluster-chrX-het-contrast_gender_chrX_het_rate	contrast-qc	contrast-qc-rand	contrast-qc-nsp	contrast-qc-sty	contrast-qc-nsp-sty-ovlp
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G05_667150.CEL	0.94871	0.92802	0.92754	0.96673	female	0.29119	2.06638	2.06638	1.66500	2.04000	1.87000
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A03_667248.CEL	0.97320	0.97558	0.95008	0.98090	female	0.25423	2.51606	2.51606	2.47500	2.96000	2.99500
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H09_697118.CEL	0.98246	0.98458	0.97585	0.98398	female	0.30951	2.54818	2.54818	3.07500	2.97500	3.14000
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B06_697196.CEL	0.97783	0.97815	0.97262	0.97967	female	0.25458	3.36188	3.36188	3.82500	3.79000	4.07500
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E10_734642.CEL	0.96790	0.96401	0.95974	0.97289	female	0.25222	2.31263	2.31263	2.94000	2.63500	2.71000
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_G12_734766.CEL	0.96426	0.94602	0.95169	0.97782	female	0.25664	2.66595	2.66595	2.57500	3.24500	3.07000
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C02_735112.CEL	0.88418	0.87789	0.83736	0.90511	female	0.23177	0.28908	0.28908	0.83000	0.57500	1.06500
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A11_735188.CEL	0.92952	0.92674	0.87118	0.95317	female	0.25209	1.76660	1.76660	2.75000	2.57000	2.65500
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F04_778026.CEL	0.87095	0.83805	0.81481	0.90819	female	0.22861	1.61670	1.61670	1.10000	1.63000	2.15500
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H08_667182.CEL	0.98412	0.98072	0.98068	0.98706	female	0.26353	2.94433	2.94433	3.17000	2.80000	3.42000
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E08_735064.CEL	0.94904	0.94987	0.91304	0.96242	female	0.23553	3.07281	3.07281	3.90000	3.80500	3.71500
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D04_731030.CEL	0.93977	0.93702	0.88728	0.96118	female	0.24418	2.52677	2.52677	3.15000	3.41500	3.34500
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_F09_730952.CEL	0.92588	0.91517	0.88084	0.94824	female	0.23488	1.88437	1.88437	3.01000	3.17500	3.14500
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H04_735034.CEL	0.94308	0.91517	0.92110	0.96488	female	0.24745	2.02355	2.02355	3.72000	3.60000	3.81500
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_C01_730970.CEL	0.97121	0.96658	0.93559	0.98706	female	0.24503	2.75161	2.75161	3.63000	3.38000	3.38500
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D07_747936.CEL	0.89510	0.88303	0.86151	0.91374	female	0.25559	2.50535	2.50535	2.60500	2.62500	2.92000
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D04_747896.CEL	0.93018	0.91645	0.90177	0.94763	female	0.24419	2.80514	2.80514	3.25000	3.35000	3.42500
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_H07_755760.CEL	0.91959	0.90617	0.86312	0.94763	female	0.23827	1.84154	1.84154	2.09000	2.20500	2.47000
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_F01_748036.CEL	0.97253	0.96530	0.96296	0.97967	female	0.24466	2.54818	2.54818	3.06000	3.46000	3.15000
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_F06_802310.CEL	0.94275	0.93059	0.89211	0.96796	female	0.23995	2.23769	2.23769	2.92500	2.87500	2.57500
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G01_802400.CEL	0.95665	0.94216	0.93398	0.97227	female	0.22310	1.79872	1.79872	2.30500	2.80500	2.39500
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_B02_667106.CEL	0.95103	0.93830	0.92915	0.96550	female	0.27184	2.08779	2.08779	1.83000	2.30500	2.19500
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C08_667196.CEL	0.97717	0.96915	0.95652	0.98891	female	0.32677	1.83084	1.83084	2.02500	1.93000	2.08500
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_F06_697022.CEL	0.97088	0.96144	0.96135	0.97905	female	0.25333	2.90150	2.90150	2.07000	3.48000	3.22000
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E02_667176.CEL	0.96525	0.94730	0.94525	0.98152	female	0.26815	2.29122	2.29122	2.04000	1.80000	2.29500
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G01_697092.CEL	0.97981	0.97301	0.97262	0.98583	female	0.32443	2.09850	2.09850	2.40500	1.84500	1.97500
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E07_697042.CEL	0.98577	0.98072	0.98873	0.98706	female	0.24629	3.17987	3.17987	3.31000	3.27000	3.19500
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C03_697990.CEL	0.98379	0.97815	0.97907	0.98829	female	0.22972	3.22270	3.22270	3.71000	3.03000	3.33000
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_A02_698094.CEL	0.97419	0.97044	0.95652	0.98275	female	0.22725	2.96574	2.96574	3.87500	3.61000	4.00000
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D04_698088.CEL	0.98875	0.98843	0.98068	0.99199	female	0.24935	2.99786	2.99786	3.71000	3.63500	3.81000
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B08_698082.CEL	0.98610	0.98586	0.98229	0.98768	female	0.23142	3.30835	3.30835	3.48000	3.61500	3.71500
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A07_730906.CEL	0.90635	0.89589	0.84058	0.93654	female	0.26434	0.94218	0.94218	1.41500	1.68000	1.67000
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B01_730958.CEL	0.89411	0.87147	0.84702	0.92298	female	0.23011	0.79229	0.79229	0.32500	0.29000	1.50000
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E10_772002.CEL	0.95698	0.94987	0.95169	0.96242	female	0.24519	1.87366	1.87366	2.25500	2.19000	2.37500
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_D03_771976.CEL	0.86466	0.83290	0.83575	0.89094	female	0.21631	1.03854	1.03854	1.42500	2.14500	2.24000
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C04_735096.CEL	0.90470	0.89717	0.85346	0.92791	female	0.28068	0.84582	0.84582	0.99500	0.96500	1.51000
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B02_735172.CEL	0.87624	0.86247	0.80837	0.90881	female	0.21342	0.40685	0.40685	0.52500	0.53500	0.87500
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A08_735126.CEL	0.91628	0.90874	0.86634	0.93900	female	0.24062	0.98501	0.98501	0.64000	1.01000	1.18000
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F08_667166.CEL	0.95036	0.94987	0.94042	0.95441	female	0.24571	1.26338	1.26338	2.04000	2.02500	1.79500
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E05_667114.CEL	0.91760	0.90746	0.87440	0.93900	female	0.22860	1.27409	1.27409	1.26500	1.88500	1.88000
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_F10_698050.CEL	0.94408	0.92802	0.93076	0.95687	female	0.22621	0.77088	0.77088	1.12500	0.94000	1.57500
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A01_731026.CEL	0.93613	0.91131	0.90499	0.95995	female	0.23964	1.84154	1.84154	2.43000	2.97500	2.98000
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_B03_741420.CEL	0.96691	0.96915	0.94203	0.97535	female	0.25870	3.05139	3.05139	3.74000	4.02500	4.00500
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_F01_735238.CEL	0.93283	0.90360	0.89855	0.95995	female	0.22084	2.53747	2.53747	2.54000	3.55000	3.34500
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_A01_735202.CEL	0.88683	0.87147	0.83092	0.91559	female	0.21223	1.53105	1.53105	2.12000	2.99500	2.58500
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_A11_735342.CEL	0.91727	0.90360	0.88406	0.93654	female	0.16915	1.80942	1.80942	2.94500	3.00500	3.39000
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_E11_735328.CEL	0.93349	0.90103	0.91304	0.95687	female	0.20915	2.71949	2.71949	3.01000	3.32000	3.18000
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_A05_735266.CEL	0.92952	0.92674	0.89855	0.94270	female	0.22664	2.34475	2.34475	2.79000	2.61000	3.14500
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_A08_735326.CEL	0.94044	0.92416	0.91948	0.95625	female	0.22029	1.97002	1.97002	3.22000	3.29000	3.37000
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C04_735384.CEL	0.93680	0.91388	0.89855	0.96242	female	0.20503	2.28051	2.28051	2.57000	3.15500	3.35000
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C08_735352.CEL	0.93382	0.91260	0.90821	0.95379	female	0.22870	2.49465	2.49465	2.77000	3.11500	3.38000
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_B06_755792.CEL	0.96228	0.94987	0.94364	0.97535	female	0.22126	2.78373	2.78373	3.24000	3.64000	3.62500
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F05_772150.CEL	0.95698	0.95116	0.92915	0.97043	female	0.23175	2.07709	2.07709	2.51000	2.94000	2.97500
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G01_772064.CEL	0.96856	0.96144	0.95491	0.97720	female	0.23585	2.47323	2.47323	2.55500	2.56000	2.65500
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_E09_799894.CEL	0.96327	0.96401	0.92915	0.97597	female	0.20553	2.94433	2.94433	3.36500	3.41000	3.30500
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G09_802384.CEL	0.96492	0.95501	0.94042	0.97905	female	0.20603	2.39829	2.39829	3.27500	3.36000	3.07500
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E12_802434.CEL	0.94441	0.93059	0.92271	0.95933	female	0.20376	2.10921	2.10921	2.75000	2.63000	2.59000
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_F02_735248.CEL	0.90966	0.88175	0.86957	0.93839	female	0.22941	1.59529	1.59529	0.30000	0.84500	1.70000
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C02_735200.CEL	0.93911	0.92159	0.91787	0.95564	female	0.26659	1.75589	1.75589	2.53000	3.04000	3.00500
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C05_735300.CEL	0.92786	0.90746	0.86957	0.95995	female	0.23328	2.37687	2.37687	2.78000	3.11500	3.09500
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_A04_735228.CEL	0.91694	0.88946	0.88889	0.94085	female	0.23171	1.67024	1.67024	1.72500	2.01000	2.20000
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D01_772210.CEL	0.97717	0.96530	0.97585	0.98336	female	0.25108	2.80514	2.80514	3.27000	3.78000	3.54500
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C08_772120.CEL	0.93084	0.90231	0.89533	0.95810	female	0.21563	2.13062	2.13062	1.91500	3.08000	2.85500
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070.CEL	0.96658	0.95501	0.95974	0.97474	female	0.23859	2.17345	2.17345	2.28000	2.38000	2.56000
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B01_772124.CEL	0.97253	0.96530	0.95652	0.98213	female	0.25249	2.16274	2.16274	2.42500	2.67000	2.54000
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D12_780780.CEL	0.95996	0.94087	0.94203	0.97597	female	0.25086	2.37687	2.37687	2.97500	3.30000	3.06000
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C10_780952.CEL	0.95003	0.92545	0.94203	0.96488	female	0.24520	2.52677	2.52677	2.82500	3.38500	3.26000
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G09_799866.CEL	0.94011	0.92031	0.89855	0.96550	female	0.22577	2.31263	2.31263	3.12500	3.00500	2.93500
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A11_799964.CEL	0.91198	0.86632	0.89855	0.93900	female	0.21849	1.88437	1.88437	2.38500	2.52500	2.43000
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_E01_799814.CEL	0.95698	0.94087	0.92754	0.97597	female	0.23837	2.63383	2.63383	3.59000	3.26500	3.61000
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G01_755818.CEL	0.96592	0.96658	0.93076	0.97905	female	0.24717	2.97645	2.97645	3.50000	3.65000	3.59000
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A11_741394.CEL	0.96856	0.95887	0.94686	0.98152	female	0.23633	2.53747	2.53747	2.98000	2.99500	3.06500
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_A09_735258.CEL	0.91264	0.87918	0.87601	0.94270	female	0.31189	1.64882	1.64882	2.61000	2.85000	2.97500
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_E04_741512.CEL	0.93713	0.92159	0.91143	0.95441	female	0.25929	2.14133	2.14133	3.36000	3.53500	3.33500
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_B01_747920.CEL	0.81204	0.76478	0.75523	0.85644	unknown	-1.00000	-0.26767	-0.26767	-0.30000	-0.48500	-0.00500
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_F10_747982.CEL	0.96956	0.95887	0.95813	0.97905	female	0.25243	2.66595	2.66595	2.98000	2.94500	3.02500
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_F10_778066.CEL	0.92555	0.89460	0.90821	0.94701	female	0.22261	0.58887	0.58887	-0.02000	0.41000	0.66000
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A03_780810.CEL	0.97287	0.95116	0.96940	0.98460	female	0.32794	2.21627	2.21627	2.74000	2.80500	2.69000
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H12_787498.CEL	0.97353	0.96272	0.96457	0.98213	female	0.24662	2.95503	2.95503	3.64000	3.46000	3.50000
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A06_777686.CEL	0.95500	0.93959	0.93076	0.97166	female	0.29403	2.11991	2.11991	2.75500	3.07000	3.12000
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B09_778048.CEL	0.92025	0.89203	0.90016	0.94147	female	0.28662	1.01713	1.01713	0.36500	0.35500	0.92000
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C04_778012.CEL	0.97485	0.96015	0.96618	0.98521	female	0.24505	3.13704	3.13704	2.69500	3.38000	3.28500
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D10_787616.CEL	0.97353	0.96530	0.95813	0.98336	female	0.22667	3.04069	3.04069	3.08500	3.59500	4.10000
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G08_778140.CEL	0.95797	0.93445	0.94525	0.97412	female	0.27014	2.44111	2.44111	1.78500	2.58500	2.84000
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A11_778118.CEL	0.97088	0.96144	0.96296	0.97843	female	0.22154	2.66595	2.66595	2.76500	3.13500	3.24000
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G12_778082.CEL	0.92124	0.86889	0.91304	0.94948	female	0.24218	2.43041	2.43041	1.75000	2.60500	2.50000
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B08_777998.CEL	0.94937	0.93445	0.93720	0.96118	female	0.24650	2.21627	2.21627	2.40500	2.27500	2.71500
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E08_778142.CEL	0.90338	0.86504	0.86473	0.93654	female	0.27936	2.09850	2.09850	1.07000	1.94500	2.18500
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C04_780824.CEL	0.96889	0.95758	0.94686	0.98275	female	0.25262	2.65525	2.65525	2.98500	3.18000	3.09000
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E12_667170.CEL	0.96658	0.96015	0.94364	0.97843	female	0.23848	1.44540	1.44540	1.08500	1.14000	1.56500
GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_C01_735380.CEL	0.92224	0.89717	0.88406	0.94886	female	0.20423	2.18415	2.18415	3.13500	3.43000	3.29000
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_A02_741404.CEL	0.94110	0.92674	0.90821	0.96057	female	0.20654	2.30193	2.30193	2.58000	3.53500	3.06500
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G03_799938.CEL	0.95235	0.94216	0.91626	0.97104	female	0.21085	2.38758	2.38758	3.04500	2.92000	2.73500
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H08_787514.CEL	0.96757	0.95244	0.95330	0.98028	female	0.26161	3.41542	3.41542	3.61500	4.05500	4.15500
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_B03_802388.CEL	0.90702	0.88817	0.86795	0.93099	female	0.24372	1.59529	1.59529	2.43000	2.95500	2.79000
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F07_799994.CEL	0.91760	0.89589	0.89050	0.93839	female	0.23385	1.46681	1.46681	2.40500	2.74500	2.59500
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_C11_780854.CEL	0.95665	0.93702	0.95652	0.96611	female	0.24627	1.80942	1.80942	2.40500	2.73500	2.38000
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_B01_777766.CEL	0.93812	0.90617	0.91948	0.96057	female	0.25516	3.00857	3.00857	3.34500	3.66500	3.47500
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E11_780906.CEL	0.95731	0.94216	0.93559	0.97289	female	0.24705	2.14133	2.14133	2.39500	2.79000	2.84000
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_G10_777688.CEL	0.96592	0.95887	0.95491	0.97351	female	0.24038	2.50535	2.50535	2.70500	3.25000	3.14000
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F10_787486.CEL	0.95533	0.93830	0.94364	0.96796	female	0.23954	2.78373	2.78373	2.46000	3.68500	3.46000
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H06_787574.CEL	0.96095	0.93959	0.94686	0.97659	female	0.24932	2.43041	2.43041	3.51000	3.78500	3.91500
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B06_787606.CEL	0.95301	0.92931	0.94525	0.96734	female	0.25598	2.52677	2.52677	1.99500	3.37500	3.03000
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G07_787458.CEL	0.94341	0.91645	0.93881	0.95810	female	0.23066	2.69807	2.69807	2.70000	3.33000	3.69500
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A08_802468.CEL	0.95632	0.94087	0.93881	0.97043	female	0.24730	2.78373	2.78373	3.21500	3.10500	3.60500
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C02_802398.CEL	0.97584	0.96915	0.95974	0.98521	female	0.24853	3.21199	3.21199	3.68500	3.65500	3.50500
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_F09_799842.CEL	0.89212	0.88175	0.83414	0.91929	female	0.22444	1.52034	1.52034	1.48000	1.79000	1.65000
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C06_802374.CEL	0.88782	0.86761	0.84702	0.91312	female	0.21988	1.34904	1.34904	2.05000	2.42000	2.58000
COMIC_p_TCGA_b142_SNP_S_GenomeWideSNP_6_H01_804442.CEL	0.94242	0.92416	0.90177	0.96673	female	0.23813	2.34475	2.34475	2.69500	2.91500	2.98500
COMIC_p_TCGA_b142_SNP_S_GenomeWideSNP_6_H04_804488.CEL	0.92952	0.92674	0.89694	0.94331	female	0.21360	0.91006	0.91006	0.58000	0.52500	1.04000
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_G06_802446.CEL	0.91463	0.89075	0.88567	0.93715	female	0.22002	1.40257	1.40257	1.49000	1.90000	1.64500
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_D08_777960.CEL	0.88021	0.86504	0.84058	0.90265	female	0.22081	1.15632	1.15632	0.00000	1.52000	1.58500
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_G11_735166.CEL	0.96492	0.96015	0.94686	0.97412	female	0.24947	2.20557	2.20557	2.71500	2.67500	2.82500
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E04_698126.CEL	0.96889	0.95630	0.96296	0.97720	female	0.23275	2.53747	2.53747	3.18500	2.71000	2.87500
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E07_778070.CEL	0.88286	0.84833	0.84541	0.91374	female	0.22959	1.83084	1.83084	0.92000	2.10000	1.90500
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A07_778002.CEL	0.95632	0.91902	0.95169	0.97597	female	0.24723	2.40899	2.40899	2.28000	3.38000	3.34000
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C08_778092.CEL	0.95235	0.92802	0.94686	0.96611	female	0.24220	2.98715	2.98715	2.26000	3.00000	3.26500
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C11_698072.CEL	0.98147	0.97686	0.96779	0.98891	female	0.30817	2.58030	2.58030	3.10500	2.79000	3.15500
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B09_698004.CEL	0.98379	0.97301	0.98551	0.98829	male	0.02320	3.01927	3.01927	2.45500	3.04500	3.24500
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G07_778100.CEL	0.92158	0.89460	0.90660	0.94023	female	0.24129	0.74946	0.74946	-0.32500	0.00000	0.64500
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E04_735076.CEL	0.94275	0.92802	0.90499	0.96426	female	0.22185	1.41328	1.41328	2.14500	2.62000	2.55000
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D01_730928.CEL	0.92985	0.90103	0.87923	0.96303	female	0.30345	2.53747	2.53747	3.70500	3.04000	3.32500
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E12_667024.CEL	0.96889	0.96787	0.95491	0.97474	female	0.23514	2.15203	2.15203	2.02000	2.20000	2.47500
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_D01_666888.CEL	0.95533	0.94216	0.93398	0.96981	female	0.28152	1.72377	1.72377	1.45500	2.21500	2.18000
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E03_666982.CEL	0.96062	0.95244	0.94364	0.97104	female	0.24934	2.24839	2.24839	1.78000	2.34000	2.27500
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C08_735010.CEL	0.91760	0.90874	0.87279	0.93900	female	0.25600	0.06424	0.06424	0.00000	0.00000	0.67500
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_D08_666918.CEL	0.88021	0.84576	0.85507	0.90635	female	0.23456	0.19272	0.19272	0.14500	0.78500	0.88500
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_D10_666988.CEL	0.97386	0.96144	0.97262	0.98028	female	0.31218	2.08779	2.08779	1.66000	1.83000	2.46500
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B03_735012.CEL	0.87525	0.86889	0.83092	0.89526	female	0.21688	0.77088	0.77088	0.02500	0.19500	1.02000
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E06_697086.CEL	0.98312	0.98586	0.97101	0.98644	female	0.24160	3.43683	3.43683	3.96000	3.54500	3.81500
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A11_666908.CEL	0.97882	0.97044	0.97424	0.98460	female	0.24937	2.41970	2.41970	2.20500	2.50500	2.72500
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B11_735176.CEL	0.89113	0.88432	0.85507	0.90819	female	0.20455	-0.12848	-0.12848	-0.21000	0.00000	0.62500
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E05_735020.CEL	0.95500	0.94473	0.93076	0.96919	female	0.23913	2.77302	2.77302	2.94500	2.96000	3.26000
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B03_628222.CEL	0.95599	0.93445	0.93720	0.97351	female	0.23494	1.35974	1.35974	1.98500	1.64000	1.98500
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B01_667042.CEL	0.91926	0.90488	0.90338	0.93222	female	0.25730	1.18844	1.18844	1.23500	1.23000	1.52500
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_H02_735024.CEL	0.90271	0.87404	0.86473	0.93099	female	0.23227	1.54176	1.54176	1.97500	2.68500	2.54500
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_B12_628398.CEL	0.97717	0.97172	0.96618	0.98398	female	0.31774	2.46253	2.46253	3.04500	2.40500	2.69500
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G01_666948.CEL	0.96095	0.95116	0.94525	0.97166	female	0.24776	2.92291	2.92291	2.52000	2.90000	3.05500
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C02_698022.CEL	0.98743	0.98715	0.98390	0.98891	female	0.24856	3.55460	3.55460	3.68000	3.36000	3.76000
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H02_666912.CEL	0.98147	0.97044	0.97262	0.99014	female	0.25938	2.90150	2.90150	2.30500	2.66000	3.06500
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G10_667026.CEL	0.96923	0.95758	0.94847	0.98275	female	0.23221	1.97002	1.97002	1.91500	2.02500	2.47500
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A09_735006.CEL	0.91992	0.92031	0.86151	0.94208	female	0.22409	0.64240	0.64240	1.20500	1.48500	1.56500
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_D12_667020.CEL	0.93812	0.93316	0.92110	0.94701	female	0.22211	1.28480	1.28480	1.05000	1.06500	1.51000
