SNP	Gene	TotalDuration	KEG_Duration	NB_Duration	Psi_Duration	LRT_Eta	P_Eta	LRT_Gamma	P_Gamma	Lik	LikEta	LikGamma	Kappa	Eta	Gamma	Phi	Psi	Fail_Full	Fail_Full_eta	Fail_full_gamma	Fail_Eta	Fail_Gamma	Coeff_0	Coeff_1	Coeff_2	Coeff_3	Coeff_4	Coeff_5	Coeff_6	Coeff_7	Coeff_8	Coeff_9	Coeff_10	Coeff_11	Coeff_12	Coeff_13	Coeff_14	Coeff_15	Coeff_16	Coeff_17	Coeff_18	Coeff_19	Coeff_20	Coeff_21	Coeff_22	Coeff_23	Coeff_24	Coeff_25	Coeff_26	Coeff_27	Coeff_28	Coeff_29	Coeff_30	Coeff_31	Coeff_32	Coeff_33	Coeff_34	Coeff_35	Coeff_36	CisTrans_Score	CisTrans_Pval	CisTrans_Fail
225	26	1.88e+00	1.40e-01	1.60e+00	1.32e-01	1.884549e-01	6.6421e-01	2.309558e-02	8.7921e-01	-5.0061e+03	-5.0062e+03	-5.0061e+03	9.5139e-01	9.1966e-01	9.7804e-01	1.7650e-01	8.3475e-02	0	0	0	0	0	1.0295e+00	2.5682e-01	-1.8428e-02	-7.1271e-02	-3.7315e-01	-8.5853e-02	-1.4253e-01	-1.6953e-01	-1.1649e-01	-1.3770e-01	-1.1534e-02	-2.3987e-01	3.7671e-01	-4.7481e-02	6.3248e-02	-5.0803e-02	9.4735e-01	-1.3358e-02	2.1403e-01	1.6649e-01	1.9805e-01	5.2190e-01	1.8311e-01	-2.8502e-03	7.8577e-02	2.1976e-01	4.9575e-02	4.0718e-01	1.2177e-01	-2.5392e-03	2.8611e-01	1.7850e+00	1.5054e+00	5.4944e-02	-1.3908e+00	-4.2691e-01	-1.1431e-01	6.0596e-02	9.7016e-01	0
226	26	1.87e+00	1.40e-01	1.58e+00	1.38e-01	2.340308e-01	6.2855e-01	4.556099e-02	8.3098e-01	-5.0059e+03	-5.0060e+03	-5.0059e+03	9.8753e-01	1.1032e+00	1.0353e+00	1.7603e-01	8.4008e-02	0	0	0	0	0	1.0240e+00	2.5174e-01	-2.0663e-02	-7.2498e-02	-3.7253e-01	-9.1299e-02	-1.4762e-01	-1.6993e-01	-1.1913e-01	-1.4506e-01	-1.8633e-02	-2.4872e-01	3.5916e-01	-4.7791e-02	5.8131e-02	-4.3395e-02	9.4286e-01	-1.0676e-02	2.1066e-01	1.6184e-01	2.0435e-01	5.1620e-01	1.8087e-01	-7.3962e-03	8.4822e-02	2.1404e-01	5.2407e-02	4.0330e-01	1.1235e-01	-2.5651e-03	2.7423e-01	1.7809e+00	1.4867e+00	3.0053e-02	-1.3757e+00	-4.3300e-01	-1.2966e-01	4.9654e+00	8.3516e-02	0
227	26	2.82e+00	2.23e-01	2.41e+00	1.75e-01	1.698853e+00	1.9244e-01	2.427966e+00	1.1919e-01	-5.0052e+03	-5.0061e+03	-5.0064e+03	8.3008e-01	7.7997e-01	1.2462e+00	1.7604e-01	8.2994e-02	0	0	0	0	0	1.0352e+00	2.6013e-01	-3.4849e-02	-5.8548e-02	-3.6492e-01	-8.4953e-02	-1.3937e-01	-1.6736e-01	-1.1323e-01	-1.3950e-01	-1.4913e-02	-2.4854e-01	3.6584e-01	-4.5811e-02	7.4208e-02	-2.8693e-02	9.6341e-01	6.2064e-03	2.2719e-01	1.7621e-01	2.0750e-01	5.2616e-01	1.9697e-01	1.8861e-02	1.0244e-01	2.3459e-01	5.8412e-02	4.2050e-01	1.3447e-01	-2.6145e-03	3.2551e-01	1.8158e+00	1.4857e+00	4.9169e-02	-1.4058e+00	-4.1798e-01	-1.1873e-01	4.4556e+00	1.0777e-01	0
228	26	1.71e+00	7.81e-02	1.49e+00	1.29e-01	4.976483e-01	4.8054e-01	1.891926e+00	1.6898e-01	-5.0055e+03	-5.0057e+03	-5.0064e+03	9.3067e-01	7.7255e-01	1.3291e+00	1.7681e-01	8.0347e-02	0	0	0	0	0	1.0283e+00	2.6134e-01	-3.0614e-02	-5.9405e-02	-3.6622e-01	-8.5504e-02	-1.4160e-01	-1.7103e-01	-1.1659e-01	-1.3969e-01	-1.1212e-02	-2.4477e-01	3.7534e-01	-4.2436e-02	7.5116e-02	-4.2267e-02	9.5666e-01	-4.4849e-03	2.2192e-01	1.7045e-01	2.0814e-01	5.1763e-01	1.8490e-01	2.3935e-03	9.2950e-02	2.2289e-01	4.1499e-02	4.1774e-01	1.2905e-01	-2.5670e-03	3.1407e-01	1.8237e+00	1.4891e+00	2.4432e-02	-1.4040e+00	-4.3043e-01	-1.1611e-01	2.1439e+00	3.4234e-01	0
229	26	2.14e+00	1.64e-01	1.77e+00	2.03e-01	6.732327e-02	7.9527e-01	5.061138e-04	9.8205e-01	-5.0064e+03	-5.0064e+03	-5.0064e+03	9.5131e-01	9.5291e-01	1.0029e+00	1.7633e-01	8.4208e-02	0	0	0	0	0	1.0290e+00	2.5399e-01	-2.4739e-02	-6.8770e-02	-3.7439e-01	-8.7716e-02	-1.4472e-01	-1.7077e-01	-1.1856e-01	-1.4184e-01	-1.4223e-02	-2.4673e-01	3.6738e-01	-4.6311e-02	6.7537e-02	-4.3547e-02	9.5224e-01	-6.7173e-03	2.1823e-01	1.6798e-01	2.0611e-01	5.2355e-01	1.8636e-01	4.4162e-03	8.2825e-02	2.2247e-01	5.4754e-02	4.1037e-01	1.2056e-01	-2.5921e-03	3.2032e-01	1.7931e+00	1.5145e+00	5.4559e-02	-1.3874e+00	-4.4144e-01	-1.2416e-01	1.0608e+01	4.9715e-03	1
230	26	2.01e+00	1.32e-01	1.74e+00	1.30e-01	1.928972e-02	8.8954e-01	5.893615e-01	4.4267e-01	-5.0055e+03	-5.0055e+03	-5.0058e+03	9.9385e-01	9.7149e-01	8.8830e-01	1.7579e-01	8.4353e-02	0	0	0	0	0	1.0275e+00	2.4937e-01	-2.9278e-02	-6.5406e-02	-3.7419e-01	-8.7504e-02	-1.4662e-01	-1.7191e-01	-1.2205e-01	-1.4215e-01	-1.3525e-02	-2.4303e-01	3.6779e-01	-4.2219e-02	7.1560e-02	-3.6276e-02	9.5362e-01	-6.1825e-03	2.2183e-01	1.7215e-01	2.0736e-01	5.3285e-01	1.9111e-01	1.5986e-02	7.7324e-02	2.2580e-01	5.2011e-02	4.0761e-01	1.2247e-01	-2.6689e-03	3.2568e-01	1.8253e+00	1.5100e+00	3.0088e-02	-1.3803e+00	-4.7667e-01	-1.3380e-01	2.7777e+00	2.4936e-01	0
231	26	2.57e+00	1.49e-01	2.27e+00	1.40e-01	3.753264e+00	5.2704e-02	3.693576e-02	8.4760e-01	-5.0026e+03	-5.0045e+03	-5.0027e+03	8.8304e-01	6.4471e-01	1.0292e+00	1.7491e-01	8.1942e-02	0	0	0	0	0	1.0374e+00	2.5208e-01	-1.7490e-02	-5.9710e-02	-3.4890e-01	-8.4416e-02	-1.4064e-01	-1.7467e-01	-1.2096e-01	-1.2238e-01	-1.5341e-02	-2.4527e-01	3.7371e-01	-4.9422e-02	6.8991e-02	-5.7230e-02	9.3735e-01	-3.0992e-02	2.1282e-01	1.7416e-01	2.0683e-01	4.9742e-01	1.7842e-01	-1.2906e-02	7.7699e-02	2.1602e-01	7.3257e-02	4.0909e-01	1.1099e-01	-2.6356e-03	2.6905e-01	1.7524e+00	1.3892e+00	8.9141e-02	-1.3682e+00	-4.2820e-01	-1.0647e-01	1.7918e+00	4.0823e-01	0
232	26	3.15e+00	2.30e-01	2.69e+00	2.18e-01	3.998924e-01	5.2714e-01	3.826017e+00	5.0463e-02	-5.0035e+03	-5.0037e+03	-5.0054e+03	1.0954e+00	1.1261e+00	7.3758e-01	1.7528e-01	8.0934e-02	0	0	0	0	0	1.0212e+00	2.5250e-01	-3.2256e-02	-7.4985e-02	-3.7724e-01	-1.0264e-01	-1.4382e-01	-1.7158e-01	-1.1998e-01	-1.4969e-01	-1.5911e-02	-2.5275e-01	3.5113e-01	-3.6664e-02	6.3238e-02	-5.1649e-02	9.3615e-01	9.7101e-04	2.2434e-01	1.6703e-01	1.9857e-01	5.3811e-01	1.9100e-01	2.2277e-02	9.0666e-02	2.2954e-01	5.7056e-02	4.1424e-01	1.3099e-01	-2.4682e-03	3.5306e-01	1.8629e+00	1.4968e+00	8.4119e-02	-1.4244e+00	-4.2195e-01	-1.2913e-01	6.9964e+01	6.4201e-16	0
232	26	3.14e+00	1.35e-01	3.00e+00	0.00e+00	3.243767e+00	7.1696e-02	1.563429e-01	6.9255e-01	-4.6680e+03	-4.6696e+03	-4.6681e+03	8.8180e-01	5.8619e-01	9.2601e-01	1.7342e-01	-1.0000e+00	0	2	0	0	0	1.0373e+00	2.6950e-01	-1.5231e-02	-2.0003e-02	-3.4096e-01	-8.5842e-02	-1.1904e-01	-1.3619e-01	-8.6927e-02	-1.2551e-01	1.7605e-02	-2.3997e-01	3.5746e-01	-2.5977e-02	7.5361e-02	-3.5675e-02	9.4797e-01	2.7638e-02	2.2857e-01	1.8621e-01	1.8451e-01	5.7255e-01	2.0582e-01	7.1397e-02	1.1751e-01	2.5726e-01	8.3093e-02	4.3956e-01	1.6572e-01	-2.6625e-03	2.3973e-01	1.8315e+00	1.4786e+00	8.8506e-03	-1.4520e+00	-3.6815e-01	-1.2892e-01	1.0000e+00	2.1268e-11	0
233	26	2.12e+00	1.51e-01	1.83e+00	1.29e-01	1.321550e-02	9.0848e-01	4.039913e-01	5.2504e-01	-5.0058e+03	-5.0058e+03	-5.0060e+03	9.8826e-01	9.7824e-01	9.0544e-01	1.7581e-01	8.4918e-02	0	0	0	0	0	1.0281e+00	2.4633e-01	-2.9466e-02	-7.3007e-02	-3.7020e-01	-8.7994e-02	-1.4979e-01	-1.7112e-01	-1.2494e-01	-1.5097e-01	-1.5996e-02	-2.5510e-01	3.6698e-01	-4.1858e-02	7.0569e-02	-4.4407e-02	9.5273e-01	-7.3604e-03	2.2444e-01	1.6984e-01	2.1093e-01	5.2366e-01	1.9186e-01	9.1802e-03	9.1482e-02	2.3930e-01	6.0603e-02	4.1589e-01	1.3889e-01	-2.6400e-03	2.7367e-01	1.7812e+00	1.4801e+00	6.0705e-02	-1.3869e+00	-4.1719e-01	-1.4010e-01	4.0800e+00	1.3003e-01	0
234	26	3.12e+00	3.07e-01	2.60e+00	2.04e-01	1.311209e+00	2.5218e-01	1.271347e+00	2.5951e-01	-5.0007e+03	-5.0014e+03	-5.0013e+03	9.7988e-01	1.2221e+00	1.1648e+00	1.7427e-01	7.7866e-02	0	0	0	0	0	1.0150e+00	2.1059e-01	-3.0235e-02	-7.8281e-02	-3.8493e-01	-1.1358e-01	-1.7542e-01	-2.0576e-01	-1.4011e-01	-1.6582e-01	-3.3019e-02	-2.7023e-01	3.6905e-01	-1.0808e-02	8.9803e-02	-5.3614e-03	9.4262e-01	4.4740e-02	2.4350e-01	1.6916e-01	2.3184e-01	5.6805e-01	2.2863e-01	9.5293e-03	1.0239e-01	2.7009e-01	8.8180e-02	4.5455e-01	1.5584e-01	-2.3264e-03	2.3530e-01	1.7754e+00	1.3225e+00	4.5754e-02	-1.4200e+00	-4.2123e-01	-1.8018e-01	1.4695e+00	4.7963e-01	0
235	26	1.94e+00	9.49e-02	1.67e+00	1.64e-01	4.533118e+00	3.3245e-02	6.159139e-01	4.3257e-01	-5.0024e+03	-5.0046e+03	-5.0027e+03	1.0356e+00	1.7127e+00	7.9810e-01	1.7477e-01	8.2387e-02	0	0	0	0	0	1.0233e+00	2.1792e-01	-4.0596e-02	-9.3976e-02	-3.8305e-01	-1.2421e-01	-1.8023e-01	-1.9921e-01	-1.5511e-01	-1.4745e-01	-4.6501e-02	-2.6092e-01	3.3958e-01	-3.5664e-02	7.6149e-02	-3.6370e-02	9.2991e-01	-8.2933e-03	2.2669e-01	1.6541e-01	2.0567e-01	5.0919e-01	1.8031e-01	1.4552e-02	7.8906e-02	2.0966e-01	5.7689e-02	4.1351e-01	9.8481e-02	-2.6386e-03	2.8270e-01	1.7261e+00	1.3843e+00	8.3278e-02	-1.3526e+00	-4.9505e-01	-1.5333e-01	2.8771e-01	8.6601e-01	0
236	26	1.96e+00	1.34e-01	1.67e+00	1.43e-01	1.414182e+00	2.3436e-01	1.333218e-02	9.0808e-01	-5.0051e+03	-5.0058e+03	-5.0051e+03	9.2460e-01	7.8775e-01	1.0165e+00	1.7656e-01	8.1082e-02	0	0	0	0	0	1.0329e+00	2.5479e-01	-3.1619e-02	-6.3719e-02	-3.6731e-01	-8.3200e-02	-1.4787e-01	-1.6781e-01	-1.1287e-01	-1.3072e-01	-1.1609e-02	-2.3501e-01	3.6096e-01	-4.8345e-02	6.8008e-02	-4.4068e-02	9.5295e-01	4.5862e-03	2.1991e-01	1.6587e-01	2.1338e-01	5.2748e-01	1.8246e-01	-6.5786e-03	7.9853e-02	2.2081e-01	5.0188e-02	4.1384e-01	1.1577e-01	-2.6798e-03	3.0088e-01	1.8141e+00	1.4647e+00	4.4248e-02	-1.3799e+00	-4.0643e-01	-1.1743e-01	1.6020e+00	4.4888e-01	0
237	26	2.60e+00	1.98e-01	2.23e+00	1.60e-01	9.978465e-01	3.1783e-01	8.935808e-03	9.2469e-01	-5.0054e+03	-5.0059e+03	-5.0054e+03	9.0516e-01	8.1517e-01	1.0137e+00	1.7553e-01	8.4831e-02	0	0	0	0	0	1.0326e+00	2.6785e-01	-1.9101e-02	-5.7470e-02	-3.6149e-01	-8.1773e-02	-1.3566e-01	-1.6151e-01	-1.0624e-01	-1.2710e-01	-7.0523e-03	-2.3375e-01	3.7767e-01	-5.0784e-02	6.8279e-02	-4.4648e-02	9.4333e-01	-2.3208e-03	2.2194e-01	1.7686e-01	2.1612e-01	5.1424e-01	1.8594e-01	3.7544e-03	8.1498e-02	2.1885e-01	6.1619e-02	4.0770e-01	1.2305e-01	-2.4905e-03	3.1305e-01	1.7796e+00	1.5192e+00	5.2223e-02	-1.4249e+00	-4.3560e-01	-1.1945e-01	3.5053e+00	1.7332e-01	0
238	26	3.22e+00	3.60e-01	2.58e+00	2.71e-01	3.657181e+00	5.5828e-02	1.780682e+00	1.8207e-01	-5.0046e+03	-5.0064e+03	-5.0055e+03	1.2433e+00	1.4117e+00	8.2396e-01	1.7648e-01	7.9678e-02	2	2	2	0	0	1.0086e+00	2.4171e-01	-5.9679e-02	-8.5274e-02	-3.9085e-01	-1.0176e-01	-1.8427e-01	-1.8691e-01	-1.3585e-01	-1.5944e-01	-3.5584e-02	-2.6450e-01	3.5179e-01	-5.1837e-02	5.9841e-02	-3.6240e-02	9.4730e-01	-1.2369e-02	2.1462e-01	1.7166e-01	2.0510e-01	5.2378e-01	1.7432e-01	-1.1175e-02	7.1398e-02	2.2111e-01	5.7313e-02	4.2075e-01	1.2330e-01	-2.6241e-03	2.5351e-01	1.8109e+00	1.5105e+00	4.7299e-02	-1.3871e+00	-4.5156e-01	-1.3507e-01	9.4686e-01	6.2286e-01	0
239	26	1.98e+00	2.03e-01	1.61e+00	1.61e-01	1.719507e-01	6.7838e-01	3.067171e-02	8.6097e-01	-5.0060e+03	-5.0061e+03	-5.0061e+03	9.8876e-01	1.0835e+00	1.0270e+00	1.7646e-01	8.3271e-02	0	0	0	0	0	1.0253e+00	2.4314e-01	-3.3889e-02	-8.4529e-02	-3.9123e-01	-9.7221e-02	-1.5792e-01	-1.8138e-01	-1.3113e-01	-1.5130e-01	-2.5245e-02	-2.6194e-01	3.5617e-01	-4.7713e-02	6.5908e-02	-4.2923e-02	9.5359e-01	-1.1661e-02	2.1512e-01	1.6523e-01	1.9936e-01	5.1913e-01	1.8262e-01	-2.5143e-03	7.6914e-02	2.1892e-01	5.6818e-02	4.0937e-01	1.1429e-01	-2.6334e-03	2.9024e-01	1.8177e+00	1.5194e+00	1.9443e-02	-1.3910e+00	-4.1074e-01	-1.3248e-01	1.4441e+00	4.8576e-01	0
240	26	1.85e+00	8.96e-02	1.60e+00	1.44e-01	4.342685e-03	9.4746e-01	1.923088e+00	1.6552e-01	-5.0045e+03	-5.0045e+03	-5.0055e+03	1.0160e+00	1.0147e+00	7.5002e-01	1.7630e-01	8.0222e-02	0	0	0	0	0	1.0273e+00	2.4120e-01	-3.6733e-02	-7.6107e-02	-3.9456e-01	-9.7040e-02	-1.6598e-01	-1.8176e-01	-1.4224e-01	-1.5796e-01	-3.4571e-02	-2.6323e-01	3.4571e-01	-4.7639e-02	6.1895e-02	-4.9036e-02	9.4807e-01	-4.3644e-03	2.1480e-01	1.7591e-01	2.0603e-01	5.2768e-01	1.7506e-01	-4.2503e-03	7.7647e-02	2.2890e-01	6.6151e-02	3.9824e-01	1.1185e-01	-2.4860e-03	2.5770e-01	1.8183e+00	1.4620e+00	1.0828e-01	-1.3729e+00	-5.1077e-01	-1.3365e-01	3.4579e+00	1.7747e-01	1
241	26	2.62e+00	3.39e-01	2.04e+00	2.40e-01	1.150273e+00	2.8349e-01	3.500040e-01	5.5411e-01	-5.0058e+03	-5.0064e+03	-5.0060e+03	1.1031e+00	1.2188e+00	9.1780e-01	1.7682e-01	8.1240e-02	2	2	2	0	0	1.0176e+00	2.3551e-01	-3.9604e-02	-8.4631e-02	-3.9590e-01	-1.0710e-01	-1.6673e-01	-1.9253e-01	-1.3575e-01	-1.5579e-01	-2.6619e-02	-2.6098e-01	3.5088e-01	-4.2291e-02	7.1883e-02	-4.1217e-02	9.5869e-01	-3.8140e-03	2.1650e-01	1.6778e-01	2.0982e-01	5.2832e-01	1.8935e-01	-2.1412e-03	8.2684e-02	2.2389e-01	5.5724e-02	4.1816e-01	1.2071e-01	-2.6464e-03	3.1561e-01	1.8073e+00	1.5107e+00	3.3161e-02	-1.3849e+00	-4.2125e-01	-1.4546e-01	1.2143e+00	5.4490e-01	0
242	26	2.44e+00	2.22e-01	2.03e+00	1.81e-01	2.421404e-01	6.2266e-01	3.118783e-01	5.7653e-01	-5.0052e+03	-5.0054e+03	-5.0054e+03	9.6599e-01	1.0974e+00	1.0896e+00	1.7564e-01	8.4930e-02	0	0	0	0	0	1.0247e+00	2.5086e-01	-2.2819e-02	-7.5642e-02	-3.7341e-01	-9.1625e-02	-1.4292e-01	-1.7562e-01	-1.1440e-01	-1.4118e-01	-1.8847e-02	-2.4072e-01	3.5694e-01	-5.0772e-02	5.6495e-02	-4.7186e-02	9.4528e-01	-2.5915e-03	2.0902e-01	1.5793e-01	1.9627e-01	5.1978e-01	1.7835e-01	2.8231e-03	7.5926e-02	2.2190e-01	4.2815e-02	4.0089e-01	1.1861e-01	-2.7237e-03	2.7908e-01	1.7760e+00	1.4659e+00	8.2548e-02	-1.4104e+00	-4.0605e-01	-1.2828e-01	4.0613e+00	1.3125e-01	0
243	26	2.15e+00	1.25e-01	1.87e+00	1.42e-01	1.717854e+00	1.8997e-01	1.752639e-01	6.7548e-01	-5.0031e+03	-5.0039e+03	-5.0032e+03	9.3010e-01	7.1419e-01	9.2163e-01	1.7653e-01	7.6635e-02	0	0	0	0	0	1.0307e+00	2.4687e-01	-4.2224e-02	-6.8531e-02	-3.6413e-01	-9.4020e-02	-1.4353e-01	-1.8338e-01	-1.2782e-01	-1.4257e-01	-8.4751e-04	-2.4737e-01	3.5626e-01	-3.5515e-02	8.0936e-02	-3.3744e-02	9.5385e-01	1.6870e-02	2.3290e-01	1.6952e-01	2.1238e-01	5.1886e-01	2.0266e-01	7.3371e-03	9.2937e-02	2.3431e-01	4.9980e-02	4.1456e-01	1.2664e-01	-2.4054e-03	2.4698e-01	1.7916e+00	1.4822e+00	4.3736e-02	-1.4437e+00	-4.0163e-01	-1.4026e-01	3.8306e+00	1.4730e-01	0
244	26	3.55e+00	2.31e-01	3.09e+00	2.15e-01	3.987303e+00	4.5844e-02	1.478554e+00	2.2400e-01	-5.0043e+03	-5.0063e+03	-5.0051e+03	8.1149e-01	6.6067e-01	1.1925e+00	1.7448e-01	8.6635e-02	0	0	0	0	0	1.0430e+00	2.3449e-01	-4.0449e-02	-9.0026e-02	-3.8571e-01	-1.0545e-01	-1.6036e-01	-1.7903e-01	-1.2966e-01	-1.5400e-01	-2.0971e-02	-2.5619e-01	3.5335e-01	-4.6908e-02	6.2814e-02	-5.0560e-02	9.4997e-01	-1.2217e-02	2.1331e-01	1.6270e-01	1.9939e-01	5.1803e-01	1.8152e-01	-3.3011e-03	8.4061e-02	2.1604e-01	4.5970e-02	4.0202e-01	1.1815e-01	-2.5121e-03	2.9360e-01	1.7858e+00	1.4423e+00	3.4073e-02	-1.3784e+00	-4.2478e-01	-1.3535e-01	8.9837e+00	1.1200e-02	0
245	26	2.16e+00	2.66e-01	1.72e+00	1.72e-01	1.153999e-02	9.1445e-01	2.903666e-01	5.8999e-01	-5.0060e+03	-5.0060e+03	-5.0061e+03	9.3799e-01	1.0210e+00	1.0872e+00	1.7660e-01	8.3050e-02	0	0	0	0	0	1.0267e+00	2.4732e-01	-2.7197e-02	-7.4759e-02	-3.7884e-01	-9.6275e-02	-1.5295e-01	-1.7856e-01	-1.2808e-01	-1.4696e-01	-2.0370e-02	-2.5318e-01	3.6174e-01	-4.3619e-02	6.9909e-02	-4.4021e-02	9.5607e-01	-1.1133e-02	2.2206e-01	1.6843e-01	2.0688e-01	5.2563e-01	1.8921e-01	1.0460e-03	8.5744e-02	2.1957e-01	6.2274e-02	4.1369e-01	1.2285e-01	-2.6067e-03	2.8323e-01	1.8095e+00	1.5011e+00	6.8489e-02	-1.3934e+00	-4.2524e-01	-1.2900e-01	5.0602e+00	7.9650e-02	0
246	26	2.67e+00	3.53e-01	2.08e+00	2.28e-01	1.472482e-01	7.0118e-01	5.978456e-01	4.3940e-01	-5.0051e+03	-5.0052e+03	-5.0054e+03	9.4767e-01	1.0772e+00	1.1198e+00	1.7639e-01	8.1321e-02	0	0	2	0	0	1.0228e+00	2.4452e-01	-3.0332e-02	-7.4417e-02	-3.8035e-01	-9.3032e-02	-1.5379e-01	-1.8042e-01	-1.2382e-01	-1.5095e-01	-2.1498e-02	-2.6096e-01	3.5779e-01	-3.9002e-02	7.2391e-02	-4.1999e-02	9.5998e-01	-7.3030e-03	2.2709e-01	1.7389e-01	2.1263e-01	5.2428e-01	1.9424e-01	7.9475e-03	9.1038e-02	2.2861e-01	7.1465e-02	4.1837e-01	1.2649e-01	-2.5806e-03	2.9677e-01	1.8009e+00	1.5074e+00	6.3072e-02	-1.4015e+00	-4.2518e-01	-1.4383e-01	3.3578e-01	8.4545e-01	0
247	26	2.92e+00	1.93e-01	2.32e+00	3.91e-01	4.966624e-01	4.8097e-01	5.786126e-01	4.4686e-01	-5.0041e+03	-5.0044e+03	-5.0044e+03	9.5874e-01	8.6889e-01	8.8909e-01	1.7529e-01	8.1268e-02	0	0	0	0	0	1.0357e+00	2.3478e-01	-5.3172e-02	-9.1684e-02	-3.8594e-01	-1.0037e-01	-1.6563e-01	-1.8674e-01	-1.3934e-01	-1.5080e-01	-3.8661e-02	-2.6456e-01	3.5035e-01	-5.3115e-02	5.5334e-02	-5.3789e-02	9.2558e-01	-9.3631e-03	2.1672e-01	1.5486e-01	1.9638e-01	4.9669e-01	1.7754e-01	-4.5385e-04	5.7973e-02	2.1273e-01	4.8679e-02	3.9788e-01	1.2092e-01	-2.5913e-03	3.2665e-01	1.7923e+00	1.4770e+00	6.7757e-02	-1.4298e+00	-4.0706e-01	-1.5537e-01	1.0861e+00	5.8097e-01	0
248	26	1.88e+00	1.48e-01	1.60e+00	1.29e-01	3.885344e-03	9.5030e-01	1.602055e+00	2.0561e-01	-5.0046e+03	-5.0046e+03	-5.0054e+03	9.1191e-01	9.8806e-01	1.1974e+00	1.7575e-01	8.2594e-02	0	0	0	0	0	1.0296e+00	2.4309e-01	-2.0071e-02	-7.9374e-02	-3.8950e-01	-9.3075e-02	-1.5392e-01	-1.8592e-01	-1.3320e-01	-1.4353e-01	-2.3960e-02	-2.5340e-01	3.7403e-01	-4.3314e-02	6.2899e-02	-5.0816e-02	9.4407e-01	3.3940e-04	2.1505e-01	1.6606e-01	1.9799e-01	5.1517e-01	1.8474e-01	-1.4382e-03	8.1911e-02	2.1782e-01	5.4960e-02	4.0471e-01	1.0943e-01	-2.6509e-03	2.8004e-01	1.7703e+00	1.4950e+00	5.5637e-02	-1.4479e+00	-4.0471e-01	-1.3024e-01	2.5179e-01	8.8171e-01	0
249	26	2.35e+00	2.85e-01	1.86e+00	1.95e-01	4.249387e-02	8.3668e-01	2.013321e-01	6.5365e-01	-5.0060e+03	-5.0060e+03	-5.0061e+03	9.6205e-01	1.0403e+00	1.0667e+00	1.7687e-01	8.1730e-02	0	0	0	0	0	1.0249e+00	2.4211e-01	-3.4328e-02	-8.0108e-02	-3.8981e-01	-1.0064e-01	-1.5472e-01	-1.8761e-01	-1.2833e-01	-1.5350e-01	-2.1272e-02	-2.5661e-01	3.6203e-01	-4.1209e-02	6.7194e-02	-3.7790e-02	9.5887e-01	-3.5474e-03	2.2311e-01	1.6879e-01	2.0580e-01	5.2175e-01	1.8812e-01	-2.5856e-03	8.1901e-02	2.2371e-01	5.5628e-02	4.1011e-01	1.3163e-01	-2.5236e-03	2.9731e-01	1.8109e+00	1.5336e+00	1.9978e-02	-1.4202e+00	-4.1370e-01	-1.3627e-01	2.9037e+00	2.3414e-01	0
250	26	1.56e+00	1.61e-01	1.23e+00	1.60e-01	3.606030e-02	8.4939e-01	3.677816e-03	9.5164e-01	-5.0064e+03	-5.0065e+03	-5.0064e+03	9.8670e-01	1.0356e+00	9.9138e-01	1.7663e-01	8.3063e-02	0	0	0	0	0	1.0260e+00	2.4783e-01	-3.0748e-02	-7.4675e-02	-3.8275e-01	-9.5564e-02	-1.5200e-01	-1.7876e-01	-1.2435e-01	-1.4675e-01	-2.0089e-02	-2.5310e-01	3.6107e-01	-4.4580e-02	6.6308e-02	-4.2618e-02	9.5564e-01	-6.9240e-03	2.1883e-01	1.6764e-01	2.0456e-01	5.2292e-01	1.8607e-01	2.0690e-03	8.3138e-02	2.2188e-01	5.7641e-02	4.1092e-01	1.2122e-01	-2.6063e-03	3.0272e-01	1.7993e+00	1.5052e+00	4.9670e-02	-1.3935e+00	-4.3200e-01	-1.3090e-01	2.6224e-02	9.8697e-01	0
251	26	2.92e+00	3.63e-01	2.27e+00	2.79e-01	1.423356e-01	7.0597e-01	1.109447e+00	2.9220e-01	-5.0042e+03	-5.0042e+03	-5.0047e+03	1.0174e+00	9.2877e-01	8.4294e-01	1.7666e-01	7.9892e-02	0	0	2	0	0	1.0309e+00	2.5363e-01	-1.3067e-02	-6.8653e-02	-3.8748e-01	-9.1616e-02	-1.4903e-01	-1.7219e-01	-1.1887e-01	-1.4886e-01	-1.8255e-02	-2.5995e-01	3.5720e-01	-4.1277e-02	6.5994e-02	-3.7690e-02	9.5933e-01	-9.2816e-03	2.1947e-01	1.7418e-01	2.0734e-01	5.2232e-01	1.9060e-01	7.1154e-03	8.0449e-02	2.2585e-01	6.4930e-02	4.0085e-01	1.2571e-01	-2.5779e-03	3.3085e-01	1.8167e+00	1.5671e+00	1.0192e-02	-1.3822e+00	-4.2601e-01	-1.3787e-01	7.1499e-01	6.9943e-01	0
